"Relative Time (Process)","experiment-human-data - system/gpu.process.0.memoryAllocated","experiment-human-data - system/gpu.process.0.memoryAllocated__MIN","experiment-human-data - system/gpu.process.0.memoryAllocated__MAX"
"4740.373151","87.41","87.41","87.41"
"4770.373853","87.41","87.41","87.41"
"4800.374593","87.41","87.41","87.41"
"4830.375334","87.41","87.41","87.41"
"4860.376118","87.41","87.41","87.41"
"4890.376652","87.41","87.41","87.41"
"4920.377338","87.41","87.41","87.41"
"4950.377993","87.41","87.41","87.41"
"4980.378702","87.41","87.41","87.41"
"5010.379525","87.41","87.41","87.41"
"5040.380212","87.41","87.41","87.41"
"5070.380953","87.41","87.41","87.41"
"5100.381693","87.41","87.41","87.41"
"5130.382516","87.41","87.41","87.41"
"5160.383347","87.41","87.41","87.41"
"5190.384317","87.41","87.41","87.41"
"5220.38527","87.41","87.41","87.41"
"5250.386082","87.41","87.41","87.41"
"5280.386796","87.41","87.41","87.41"
"5310.38769","87.41","87.41","87.41"
"5340.388557","87.41","87.41","87.41"
"5370.389483","87.41","87.41","87.41"
"5400.390225","87.41","87.41","87.41"
"5430.391048","87.41","87.41","87.41"
"5460.391791","87.41","87.41","87.41"
"5490.392313","87.41","87.41","87.41"
"5520.39301","87.41","87.41","87.41"
"5550.393733","87.41","87.41","87.41"
"5580.394398","87.41","87.41","87.41"
"5610.395092","87.41","87.41","87.41"
"5640.395583","87.41","87.41","87.41"
"5670.396327","87.41","87.41","87.41"
"5700.397227","87.41","87.41","87.41"
"5730.397732","87.41","87.41","87.41"
"5760.398332","87.41","87.41","87.41"
"5790.39917","87.41","87.41","87.41"
"5820.399945","87.41","87.41","87.41"
"5850.400477","87.41","87.41","87.41"
"5880.401033","87.41","87.41","87.41"
"5910.401573","87.41","87.41","87.41"
"5940.402217","87.41","87.41","87.41"
"5970.402735","87.41","87.41","87.41"
"6000.40348","87.41","87.41","87.41"
"6030.404203","87.41","87.41","87.41"
"6060.404877","87.41","87.41","87.41"
"6090.405432","87.41","87.41","87.41"
"6120.406078","87.41","87.41","87.41"
"6150.406763","87.41","87.41","87.41"
"6180.407421","87.41","87.41","87.41"
"6210.408168","87.41","87.41","87.41"
"6240.408903","87.41","87.41","87.41"
"6270.40964","87.41","87.41","87.41"
"6300.410349","87.41","87.41","87.41"
"6330.410891","87.41","87.41","87.41"
"6360.41187","87.41","87.41","87.41"
"6390.412768","87.41","87.41","87.41"
"6420.413569","87.41","87.41","87.41"
"6450.414449","87.41","87.41","87.41"
"6480.415181","87.41","87.41","87.41"
"6510.416079","87.41","87.41","87.41"
"6540.416963","87.41","87.41","87.41"
"6570.41761","87.41","87.41","87.41"
"6600.418167","87.41","87.41","87.41"
"6630.418894","87.41","87.41","87.41"
"6660.419849","87.41","87.41","87.41"
"6690.42056","87.41","87.41","87.41"
"6720.421232","87.41","87.41","87.41"
"6750.421883","87.41","87.41","87.41"
"6780.422764","87.41","87.41","87.41"
"6810.423564","87.41","87.41","87.41"
"6840.424579","87.41","87.41","87.41"
"6870.425422","87.41","87.41","87.41"
"6900.42616","87.41","87.41","87.41"
"6930.426914","87.41","87.41","87.41"
"6960.427615","87.41","87.41","87.41"
"6990.428299","87.41","87.41","87.41"
"7020.429061","87.41","87.41","87.41"
"7050.42977","87.41","87.41","87.41"
"7080.430489","87.41","87.41","87.41"
"7110.431228","87.41","87.41","87.41"
"7140.432045","87.41","87.41","87.41"
"7170.432587","87.41","87.41","87.41"
"7200.433279","87.41","87.41","87.41"
"7230.433828","87.41","87.41","87.41"
"7260.434657","87.41","87.41","87.41"
"7290.43559","87.41","87.41","87.41"
"7320.43609","87.41","87.41","87.41"
"7350.436697","87.41","87.41","87.41"
"7380.437264","87.41","87.41","87.41"
"7410.438151","87.41","87.41","87.41"
"7440.438836","87.41","87.41","87.41"
