"Relative Time (Process)","experiment-human-data - system/gpu.process.0.memoryAllocatedBytes","experiment-human-data - system/gpu.process.0.memoryAllocatedBytes__MIN","experiment-human-data - system/gpu.process.0.memoryAllocatedBytes__MAX"
"60.254455","3269669683.2","3269669683.2","3269669683.2"
"90.255366","3659399168","3659399168","3659399168"
"120.256285","3659399168","3659399168","3659399168"
"150.257256","3659399168","3659399168","3659399168"
"180.25804","3659399168","3659399168","3659399168"
"210.258923","3659399168","3659399168","3659399168"
"240.259429","3659399168","3659399168","3659399168"
"270.260588","3659399168","3659399168","3659399168"
"300.261412","3659399168","3659399168","3659399168"
"330.262105","3659399168","3659399168","3659399168"
"360.262937","3661356509.87","3661356509.87","3661356509.87"
"390.263608","3661496320","3661496320","3661496320"
"420.264335","3661496320","3661496320","3661496320"
"450.265046","3661496320","3661496320","3661496320"
"480.265767","3661496320","3661496320","3661496320"
"510.266412","3661496320","3661496320","3661496320"
"540.267129","3661496320","3661496320","3661496320"
"570.267885","3661496320","3661496320","3661496320"
"600.268528","3661496320","3661496320","3661496320"
"630.26917","3661496320","3661496320","3661496320"
"660.269952","3662474990.93","3662474990.93","3662474990.93"
"690.270837","3663593472","3663593472","3663593472"
"720.271489","3663593472","3663593472","3663593472"
"750.272172","3663593472","3663593472","3663593472"
"780.272924","3663593472","3663593472","3663593472"
"810.273749","3663593472","3663593472","3663593472"
"840.274624","3663593472","3663593472","3663593472"
"870.275388","3663593472","3663593472","3663593472"
"900.276191","3663593472","3663593472","3663593472"
"930.276938","3663593472","3663593472","3663593472"
"960.277754","3663593472","3663593472","3663593472"
"990.27855","3663593472","3663593472","3663593472"
"1020.279363","3663593472","3663593472","3663593472"
"1050.280145","3663593472","3663593472","3663593472"
"1080.280765","3663593472","3663593472","3663593472"
"1110.28157","3663593472","3663593472","3663593472"
"1140.282191","3663593472","3663593472","3663593472"
"1170.283021","3663593472","3663593472","3663593472"
"1200.28386","3663593472","3663593472","3663593472"
"1230.28458","3663593472","3663593472","3663593472"
"1260.285369","3663593472","3663593472","3663593472"
"1290.286116","3663593472","3663593472","3663593472"
"1320.286927","3663593472","3663593472","3663593472"
"1350.287697","3663593472","3663593472","3663593472"
"1380.288555","3663593472","3663593472","3663593472"
"1410.289444","3663593472","3663593472","3663593472"
"1440.290239","3663593472","3663593472","3663593472"
"1470.290985","3663593472","3663593472","3663593472"
"1500.292166","3663593472","3663593472","3663593472"
"1530.292868","3663593472","3663593472","3663593472"
"1560.293653","3663593472","3663593472","3663593472"
"1590.29441","3663593472","3663593472","3663593472"
"1620.295538","3663593472","3663593472","3663593472"
"1650.296232","3663593472","3663593472","3663593472"
"1680.297049","3663593472","3663593472","3663593472"
"1710.297772","3663593472","3663593472","3663593472"
"1740.298563","3663593472","3663593472","3663593472"
"1770.299423","3663593472","3663593472","3663593472"
"1800.300266","3663593472","3663593472","3663593472"
"1830.301212","3663593472","3663593472","3663593472"
"1860.302131","3663593472","3663593472","3663593472"
"1890.302857","3663593472","3663593472","3663593472"
"1920.303721","3663593472","3663593472","3663593472"
"1950.304574","3663593472","3663593472","3663593472"
"1980.305304","3663593472","3663593472","3663593472"
"2010.306062","3663593472","3663593472","3663593472"
"2040.306706","3663593472","3663593472","3663593472"
"2070.307264","3663593472","3663593472","3663593472"
"2100.308215","3663593472","3663593472","3663593472"
"2130.309293","3663593472","3663593472","3663593472"
"2160.3101","3663593472","3663593472","3663593472"
"2190.310707","3663593472","3663593472","3663593472"
"2220.311234","3663593472","3663593472","3663593472"
"2250.31196","3663593472","3663593472","3663593472"
"2280.312752","3663593472","3663593472","3663593472"
"2310.313256","16406727884.8","16406727884.8","16406727884.8"
"2340.313917","21040594944","21040594944","21040594944"
"2370.314608","21040594944","21040594944","21040594944"
"2400.315336","21040594944","21040594944","21040594944"
"2430.315912","21040594944","21040594944","21040594944"
"2460.316695","21040594944","21040594944","21040594944"
"2490.317381","21040594944","21040594944","21040594944"
"2520.317977","21040594944","21040594944","21040594944"
"2550.318509","21040594944","21040594944","21040594944"
"2580.319212","21040594944","21040594944","21040594944"
"2610.319837","21040594944","21040594944","21040594944"
"2640.320325","21040594944","21040594944","21040594944"
"2670.320939","21040594944","21040594944","21040594944"
"2700.321738","21040594944","21040594944","21040594944"
"2730.322454","21076386338.13","21076386338.13","21076386338.13"
"2760.32322","21109800960","21109800960","21109800960"
"2790.324081","21109800960","21109800960","21109800960"
"2820.324778","21109800960","21109800960","21109800960"
"2850.325857","21109800960","21109800960","21109800960"
"2880.326413","21109800960","21109800960","21109800960"
"2910.327062","21109800960","21109800960","21109800960"
"2940.327581","21109800960","21109800960","21109800960"
"2970.32836","21109800960","21109800960","21109800960"
"3000.329205","21109800960","21109800960","21109800960"
"3030.33003","21109800960","21109800960","21109800960"
"3060.330802","21109800960","21109800960","21109800960"
"3090.331701","21109800960","21109800960","21109800960"
"3120.332474","21109800960","21109800960","21109800960"
"3150.33326","21109800960","21109800960","21109800960"
"3180.334145","21109800960","21109800960","21109800960"
"3210.334877","21109800960","21109800960","21109800960"
"3240.335582","21109800960","21109800960","21109800960"
"3270.336431","21109800960","21109800960","21109800960"
"3300.33726","21109800960","21109800960","21109800960"
"3330.338032","21109800960","21109800960","21109800960"
"3360.338795","21109800960","21109800960","21109800960"
"3390.339491","21109800960","21109800960","21109800960"
"3420.340253","21109800960","21109800960","21109800960"
"3450.341109","21109800960","21109800960","21109800960"
"3480.341875","21109800960","21109800960","21109800960"
"3510.342669","21110080580.27","21110080580.27","21110080580.27"
"3540.343443","21111898112","21111898112","21111898112"
"3570.344152","21111898112","21111898112","21111898112"
"3600.34492","21111898112","21111898112","21111898112"
"3630.345654","21111898112","21111898112","21111898112"
"3660.346367","21111898112","21111898112","21111898112"
"3690.347204","21111898112","21111898112","21111898112"
"3720.34797","21111898112","21111898112","21111898112"
"3750.34878","21111898112","21111898112","21111898112"
"3780.349533","21111898112","21111898112","21111898112"
"3810.350233","21111898112","21111898112","21111898112"
"3840.351143","21111898112","21111898112","21111898112"
"3870.351816","21111898112","21111898112","21111898112"
