"Step","experiment-human-data - denoiser/train/loss_denoising","experiment-human-data - denoiser/train/loss_denoising__MIN","experiment-human-data - denoiser/train/loss_denoising__MAX"
"35","1.1676514148712158","1.1676514148712158","1.1676514148712158"
"42","1.0713626146316528","1.0713626146316528","1.0713626146316528"
"58","1.2526341676712036","1.2526341676712036","1.2526341676712036"
"59","1.0715221166610718","1.0715221166610718","1.0715221166610718"
"60","1.075297474861145","1.075297474861145","1.075297474861145"
"81","1.1360715627670288","1.1360715627670288","1.1360715627670288"
"82","1.1259536743164062","1.1259536743164062","1.1259536743164062"
"96","1.0881733894348145","1.0881733894348145","1.0881733894348145"
"108","1.0330604314804077","1.0330604314804077","1.0330604314804077"
"120","1.0930230617523193","1.0930230617523193","1.0930230617523193"
"129","1.1332534551620483","1.1332534551620483","1.1332534551620483"
"185","1.019304633140564","1.019304633140564","1.019304633140564"
"199","1.1133724451065063","1.1133724451065063","1.1133724451065063"
"206","1.0913187265396118","1.0913187265396118","1.0913187265396118"
"210","1.0123395919799805","1.0123395919799805","1.0123395919799805"
"216","1.014841914176941","1.014841914176941","1.014841914176941"
"235","1.1243733167648315","1.1243733167648315","1.1243733167648315"
"241","0.9207448363304138","0.9207448363304138","0.9207448363304138"
"245","0.9520748257637024","0.9520748257637024","0.9520748257637024"
"265","0.981964111328125","0.981964111328125","0.981964111328125"
"303","0.951810359954834","0.951810359954834","0.951810359954834"
"305","0.8824195861816406","0.8824195861816406","0.8824195861816406"
"309","0.8768068552017212","0.8768068552017212","0.8768068552017212"
"417","0.72275710105896","0.72275710105896","0.72275710105896"
"434","0.810070812702179","0.810070812702179","0.810070812702179"
"447","0.7230765223503113","0.7230765223503113","0.7230765223503113"
"452","0.7176787257194519","0.7176787257194519","0.7176787257194519"
"469","0.7959875464439392","0.7959875464439392","0.7959875464439392"
"505","0.8244132399559021","0.8244132399559021","0.8244132399559021"
"538","0.705142080783844","0.705142080783844","0.705142080783844"
"574","0.7109003067016602","0.7109003067016602","0.7109003067016602"
"576","0.7221267819404602","0.7221267819404602","0.7221267819404602"
"578","0.625034511089325","0.625034511089325","0.625034511089325"
"604","0.7011683583259583","0.7011683583259583","0.7011683583259583"
"607","0.6954303979873657","0.6954303979873657","0.6954303979873657"
"619","0.6948477029800415","0.6948477029800415","0.6948477029800415"
"624","0.6496004462242126","0.6496004462242126","0.6496004462242126"
"641","0.7886190414428711","0.7886190414428711","0.7886190414428711"
"649","0.7265598177909851","0.7265598177909851","0.7265598177909851"
"660","0.7419726252555847","0.7419726252555847","0.7419726252555847"
"685","0.6618127822875977","0.6618127822875977","0.6618127822875977"
"692","0.7505986094474792","0.7505986094474792","0.7505986094474792"
"698","0.5995802283287048","0.5995802283287048","0.5995802283287048"
"714","0.6791129112243652","0.6791129112243652","0.6791129112243652"
"725","0.7642900943756104","0.7642900943756104","0.7642900943756104"
"742","0.6001821160316467","0.6001821160316467","0.6001821160316467"
"758","0.6576675176620483","0.6576675176620483","0.6576675176620483"
"775","0.7427550554275513","0.7427550554275513","0.7427550554275513"
"792","0.6054761409759521","0.6054761409759521","0.6054761409759521"
"805","0.6153224110603333","0.6153224110603333","0.6153224110603333"
"830","0.687134861946106","0.687134861946106","0.687134861946106"
"867","0.5984954833984375","0.5984954833984375","0.5984954833984375"
"872","0.5622130632400513","0.5622130632400513","0.5622130632400513"
"891","0.6496166586875916","0.6496166586875916","0.6496166586875916"
"904","0.5976802706718445","0.5976802706718445","0.5976802706718445"
"905","0.6989189982414246","0.6989189982414246","0.6989189982414246"
"917","0.6234591007232666","0.6234591007232666","0.6234591007232666"
"938","0.6603081226348877","0.6603081226348877","0.6603081226348877"
"959","0.5977940559387207","0.5977940559387207","0.5977940559387207"
"1001","0.561120331287384","0.561120331287384","0.561120331287384"
"1012","0.558032214641571","0.558032214641571","0.558032214641571"
"1018","0.5534365773200989","0.5534365773200989","0.5534365773200989"
"1022","0.5264075398445129","0.5264075398445129","0.5264075398445129"
"1025","0.5536777973175049","0.5536777973175049","0.5536777973175049"
"1041","0.5504710078239441","0.5504710078239441","0.5504710078239441"
"1051","0.516758382320404","0.516758382320404","0.516758382320404"
"1067","0.5420190691947937","0.5420190691947937","0.5420190691947937"
"1094","0.5491845011711121","0.5491845011711121","0.5491845011711121"
"1132","0.5498269200325012","0.5498269200325012","0.5498269200325012"
"1135","0.5221483707427979","0.5221483707427979","0.5221483707427979"
"1153","0.5155534148216248","0.5155534148216248","0.5155534148216248"
"1169","0.5216959714889526","0.5216959714889526","0.5216959714889526"
"1190","0.49917179346084595","0.49917179346084595","0.49917179346084595"
"1211","0.537221372127533","0.537221372127533","0.537221372127533"
"1230","0.5456104278564453","0.5456104278564453","0.5456104278564453"
"1266","0.5044671893119812","0.5044671893119812","0.5044671893119812"
"1297","0.5116769671440125","0.5116769671440125","0.5116769671440125"
"1301","0.4987833499908447","0.4987833499908447","0.4987833499908447"
"1305","0.4923625886440277","0.4923625886440277","0.4923625886440277"
"1309","0.43929678201675415","0.43929678201675415","0.43929678201675415"
"1313","0.5268011093139648","0.5268011093139648","0.5268011093139648"
"1327","0.4865846335887909","0.4865846335887909","0.4865846335887909"
"1335","0.46450939774513245","0.46450939774513245","0.46450939774513245"
"1357","0.5105584859848022","0.5105584859848022","0.5105584859848022"
"1358","0.47781306505203247","0.47781306505203247","0.47781306505203247"
"1482","0.46194225549697876","0.46194225549697876","0.46194225549697876"
"1493","0.5021305084228516","0.5021305084228516","0.5021305084228516"
"1499","0.4608474373817444","0.4608474373817444","0.4608474373817444"
"1508","0.49140462279319763","0.49140462279319763","0.49140462279319763"
"1511","0.4567316472530365","0.4567316472530365","0.4567316472530365"
"1541","0.4396360516548157","0.4396360516548157","0.4396360516548157"
"1543","0.46283411979675293","0.46283411979675293","0.46283411979675293"
"1549","0.472231388092041","0.472231388092041","0.472231388092041"
"1556","0.4300098419189453","0.4300098419189453","0.4300098419189453"
"1557","0.4667935073375702","0.4667935073375702","0.4667935073375702"
"1567","0.40343376994132996","0.40343376994132996","0.40343376994132996"
"1581","0.4013903737068176","0.4013903737068176","0.4013903737068176"
"1591","0.512475848197937","0.512475848197937","0.512475848197937"
"1592","0.42825284600257874","0.42825284600257874","0.42825284600257874"
"1598","0.3831346929073334","0.3831346929073334","0.3831346929073334"
"1599","0.41230687499046326","0.41230687499046326","0.41230687499046326"
"1605","0.4674167335033417","0.4674167335033417","0.4674167335033417"
"1642","0.4100663661956787","0.4100663661956787","0.4100663661956787"
"1653","0.41650137305259705","0.41650137305259705","0.41650137305259705"
"1655","0.49855971336364746","0.49855971336364746","0.49855971336364746"
"1683","0.4003516733646393","0.4003516733646393","0.4003516733646393"
"1724","0.4187180697917938","0.4187180697917938","0.4187180697917938"
"1726","0.4166423976421356","0.4166423976421356","0.4166423976421356"
"1735","0.45740339159965515","0.45740339159965515","0.45740339159965515"
"1737","0.3821856379508972","0.3821856379508972","0.3821856379508972"
"1772","0.3846926689147949","0.3846926689147949","0.3846926689147949"
"1800","0.4341909885406494","0.4341909885406494","0.4341909885406494"
"1820","0.44660207629203796","0.44660207629203796","0.44660207629203796"
"1836","0.450228214263916","0.450228214263916","0.450228214263916"
"1842","0.4439089000225067","0.4439089000225067","0.4439089000225067"
"1849","0.38461050391197205","0.38461050391197205","0.38461050391197205"
"1865","0.44386252760887146","0.44386252760887146","0.44386252760887146"
"1871","0.4045618176460266","0.4045618176460266","0.4045618176460266"
"1878","0.39837485551834106","0.39837485551834106","0.39837485551834106"
"1897","0.3670934736728668","0.3670934736728668","0.3670934736728668"
"1901","0.3786507546901703","0.3786507546901703","0.3786507546901703"
"2022","0.3697700500488281","0.3697700500488281","0.3697700500488281"
"2033","0.329240083694458","0.329240083694458","0.329240083694458"
"2035","0.3859882056713104","0.3859882056713104","0.3859882056713104"
