"Step","experiment-balanced-data - epoch","experiment-balanced-data - epoch__MIN","experiment-balanced-data - epoch__MAX","experiment-human-data - epoch","experiment-human-data - epoch__MIN","experiment-human-data - epoch__MAX"
"2015","1","1","1","","",""
"2030","1","1","1","","",""
"2039","","","","1","1","1"
"2045","1","1","1","","",""
"2058","","","","1","1","1"
"2066","","","","1","1","1"
"2079","1","1","1","","",""
"2083","","","","1","1","1"
"2096","","","","1","1","1"
"2101","1","1","1","","",""
"2114","1","1","1","","",""
"2116","","","","1","1","1"
"2121","","","","1","1","1"
"2125","1","1","1","","",""
"2153","","","","1","1","1"
"2161","1","1","1","","",""
"2170","1","1","1","","",""
"2174","","","","1","1","1"
"2177","1","1","1","","",""
"2180","1","1","1","","",""
"2189","","","","1","1","1"
"2191","1","1","1","1","1","1"
"2217","1","1","1","","",""
"2228","","","","1","1","1"
"2238","","","","1","1","1"
"2242","","","","1","1","1"
"2246","1","1","1","","",""
"2247","1","1","1","","",""
"2253","","","","1","1","1"
"2262","","","","1","1","1"
"2270","1","1","1","","",""
"2271","1","1","1","","",""
"2277","","","","1","1","1"
"2285","1","1","1","","",""
"2327","","","","1","1","1"
"2331","","","","1","1","1"
"2332","","","","1","1","1"
"2341","","","","1","1","1"
"2345","","","","1","1","1"
"2356","1","1","1","","",""
"2376","1","1","1","","",""
"2380","","","","1","1","1"
"2385","","","","1","1","1"
"2390","","","","1","1","1"
"2400","1","1","1","","",""
"2406","","","","1","1","1"
"2419","1","1","1","","",""
"2428","","","","1","1","1"
"2432","1","1","1","","",""
"2441","1","1","1","","",""
"2446","","","","1","1","1"
"2457","1","1","1","","",""
"2458","","","","1","1","1"
"2469","","","","1","1","1"
"2473","1","1","1","","",""
"2499","1","1","1","","",""
"2502","","","","1","1","1"
"2518","1","1","1","","",""
"2544","","","","1","1","1"
"2545","","","","1","1","1"
"2548","1","1","1","","",""
"2566","1","1","1","","",""
"2582","","","","1","1","1"
"2584","","","","1","1","1"
"2590","1","1","1","","",""
"2608","","","","1","1","1"
"2611","1","1","1","1","1","1"
"2614","","","","1","1","1"
"2615","1","1","1","","",""
"2619","","","","1","1","1"
"2645","","","","1","1","1"
"2656","1","1","1","","",""
"2662","1","1","1","","",""
"2671","","","","1","1","1"
"2693","1","1","1","","",""
"2721","","","","1","1","1"
"2724","1","1","1","","",""
"2732","1","1","1","","",""
"2738","","","","1","1","1"
"2755","1","1","1","","",""
"2765","1","1","1","","",""
"2767","1","1","1","","",""
"2787","1","1","1","","",""
"2810","1","1","1","","",""
"2837","","","","1","1","1"
"2843","1","1","1","","",""
"2874","1","1","1","","",""
"2879","","","","1","1","1"
"2885","1","1","1","","",""
"2902","","","","1","1","1"
"2909","1","1","1","","",""
"2911","1","1","1","","",""
"2966","","","","1","1","1"
"2972","1","1","1","","",""
"2982","1","1","1","","",""
"2999","1","1","1","","",""
"3009","","","","1","1","1"
"3013","","","","1","1","1"
"3018","1","1","1","","",""
"3020","1","1","1","","",""
"3022","1","1","1","","",""
"3024","1","1","1","","",""
"3032","","","","1","1","1"
"3035","1","1","1","","",""
"3042","1","1","1","","",""
"3052","1","1","1","","",""
"3059","1","1","1","","",""
"3064","","","","1","1","1"
"3067","1","1","1","","",""
"3084","1","1","1","","",""
"3090","","","","1","1","1"
"3092","1","1","1","","",""
"3105","1","1","1","","",""
"3106","1","1","1","","",""
"3112","","","","1","1","1"
"3121","1","1","1","","",""
"3135","","","","1","1","1"
"3144","1","1","1","","",""
"3153","1","1","1","","",""
"3160","","","","1","1","1"
"3182","1","1","1","","",""
"3190","","","","1","1","1"
